id,match_id,team_id,pens_attempt,pens_conceded,drops_attempt,kicks,passes,runs,meters,breaks,def_beaten,offloads,rucks_init,rucks_won,mall_init,mall_won,turnovers,tackles_made,tackles_missed,scrums_won_on_feed,scrums_lost_on_feed,lineouts_won_on_throw,lineouts_lost_on_throw,yellow_cards,red_cards
1,300725,4,3,,0,31,137,114,251,5,21,4,101,95,8,6,14,122,28,7,0,15,0,0,0
2,300725,1,2,,1,28,124,113,352,14,28,14,81,77,6,2,10,132,21,5,0,10,1,1,0
3,295107,2,2,,1,20,190,152,398,10,36,5,129,125,8,8,10,150,15,4,0,12,0,0,0
4,295107,4,3,,1,27,130,120,223,10,15,10,90,89,4,4,10,214,36,3,0,9,1,0,0
5,295106,20,4,,0,14,142,121,501,14,21,6,91,88,2,2,14,208,36,7,1,4,1,0,0
6,295106,3,0,,0,13,210,148,501,5,36,4,129,128,7,6,15,153,21,1,0,15,5,0,0
7,299414,3,3,5,0,30,208,164,373,6,24,5,133,129,4,4,11,188,24,7,0,11,2,0,0
8,299414,8,2,11,1,23,212,159,338,5,24,7,129,125,2,1,17,198,24,5,0,7,1,0,0
9,299076,4,5,,0,32,119,109,319,8,10,6,79,74,4,3,13,151,15,5,2,9,2,0,0
10,299076,6,2,,0,25,182,136,361,8,15,11,96,92,7,3,14,111,10,6,1,11,3,0,0
11,296609,1,5,,0,35,145,105,319,13,20,8,79,77,4,2,12,165,23,6,2,6,1,1,0
12,296610,1,0,,1,37,88,87,280,5,15,3,68,66,5,5,12,194,46,5,1,10,5,0,0
13,299411,3,4,,0,19,240,183,325,5,24,4,147,145,7,7,10,120,17,5,0,10,3,0,0
14,296609,5,3,,0,27,155,130,381,4,23,0,109,107,6,5,19,113,20,5,1,14,4,0,0
15,296610,8,2,,1,38,156,151,431,14,46,10,118,116,6,6,20,105,15,6,0,13,1,0,0
16,299413,20,2,,0,16,182,136,373,8,15,9,111,105,7,7,6,85,9,4,1,10,0,1,0
17,299411,10,4,,1,20,148,112,236,6,17,3,94,91,6,4,8,210,24,3,1,8,1,0,0
18,299413,81,2,,0,13,100,82,296,8,9,5,59,55,3,1,11,171,15,2,1,12,2,1,0
19,299412,9,5,,1,36,119,118,330,8,22,8,94,88,5,4,13,87,8,4,0,13,2,0,0
20,299412,5,5,,0,37,120,88,230,3,8,4,68,64,6,6,21,124,22,4,0,16,0,0,0
21,299077,4,2,,0,27,185,151,634,22,31,18,93,93,4,4,9,130,10,5,1,7,0,0,0
22,299077,16,1,,0,13,88,105,348,4,10,5,81,76,2,2,13,135,31,3,0,4,3,1,0
23,299065,7,1,,0,15,44,49,123,3,9,3,34,32,7,4,15,141,51,5,2,10,3,0,0
24,299065,15,0,,0,13,172,144,663,20,51,10,87,83,6,5,17,55,9,9,0,10,2,0,0
25,298660,11,3,11,0,25,97,107,317,8,20,0,80,78,5,5,10,147,25,5,1,12,0,1,0
26,298660,2,2,8,0,20,150,119,361,9,25,1,93,92,6,5,16,115,20,5,1,13,1,0,0
27,296319,8,3,,0,25,169,127,615,17,23,10,81,81,4,4,16,69,16,7,0,13,0,0,0
28,296319,9,3,,0,14,77,71,243,9,16,10,45,44,3,2,14,118,23,3,1,7,5,1,0
29,294422,2,2,,1,17,191,177,404,9,20,6,129,125,6,5,16,79,20,3,2,12,0,0,0
30,294422,8,1,,0,19,117,95,496,15,20,10,59,55,3,2,11,177,20,10,0,17,2,2,0
31,294421,1,2,,1,42,101,96,351,7,16,11,60,58,5,5,14,130,22,8,0,9,1,0,0
32,294421,6,3,,0,29,158,123,431,9,22,7,93,89,5,4,18,82,16,9,0,10,2,2,0
33,294985,4,4,,0,14,191,127,414,12,20,17,89,85,4,4,20,150,3,6,1,14,1,0,0
34,294985,6,2,,0,23,143,112,373,3,3,3,89,87,6,6,11,136,20,8,1,7,1,1,0
35,294312,6,3,,0,19,182,141,494,6,26,5,114,108,2,2,18,90,9,2,0,11,1,0,0
36,294312,8,2,,0,24,126,95,266,9,9,12,71,68,3,3,9,152,26,9,1,10,1,0,0
37,294310,6,4,,0,23,167,120,596,7,17,4,89,84,1,1,13,80,21,7,1,7,4,0,0
38,294310,5,4,,1,27,94,74,307,17,21,7,57,56,6,5,15,143,17,7,1,12,1,0,0
39,294432,23,4,,0,20,119,103,350,12,36,5,72,71,3,3,12,167,32,3,3,10,1,0,0
40,268593,8,1,,0,28,196,115,564,15,32,11,79,74,4,4,13,114,19,7,0,13,1,0,0
41,294432,6,0,,0,21,201,158,616,13,32,15,119,112,3,3,11,112,36,3,1,13,0,0,0
