id,match_id,team_id,scored,conceded,tries,cons,pens,drops
1,298261,8,40,17,6,2,0,0
2,298262,1,12,32,0,0,2,0
3,298262,5,32,12,2,2,2,0
4,298260,5,19,16,1,1,2,0
5,303988,85,38,9,,,,
6,298261,4,17,40,2,2,1,0
7,298260,4,16,19,1,1,2,0
8,303988,68,9,38,,,,
9,303987,31,0,13,,,,
10,303987,61,13,0,,,,
11,303985,88,3,51,,,,
12,303986,13,15,35,,,,
13,303986,7,35,15,,,,
14,303985,41,51,3,,,,
15,303983,87,22,26,,,,
16,298257,9,19,20,3,2,0,0
17,298259,1,19,7,1,1,2,0
18,303984,30,22,0,,,,
19,303983,31,26,22,,,,
20,298257,4,20,19,2,2,2,0
21,298259,8,7,19,1,1,0,0
22,303984,74,0,22,,,,
23,303978,61,7,36,,,,
24,303978,91,36,7,,,,
25,298256,3,14,46,2,1,0,0
26,298258,23,3,26,0,0,1,0
27,303982,84,27,10,,,,
28,298256,8,46,14,7,2,1,0
29,298258,5,26,3,3,1,2,0
30,303982,90,10,27,,,,
31,303980,86,28,28,,,,
32,298255,6,16,40,1,1,2,0
33,298255,1,40,16,4,2,2,0
34,303980,72,28,28,,,,
35,298232,15,0,34,0,0,0,0
36,298232,2,34,0,4,2,1,1
37,299235,2,17,14,2,2,1,0
38,302361,42,32,26,,,,
39,299235,9,14,17,2,2,0,0
40,302361,39,26,32,,,,
41,303234,45,89,7,,,,
42,303234,303673,7,89,,,,
43,301738,5,24,18,2,1,2,0
44,298230,81,33,7,5,2,0,0
45,298230,29,7,33,1,1,0,0
46,301738,10,18,24,2,1,2,0
47,300726,20,85,15,12,4,0,0
48,300726,57,15,85,2,1,1,0
49,300725,4,13,6,1,1,2,0
50,298229,82,3,57,0,0,1,0
51,300725,1,6,13,0,0,2,0
52,298229,5,57,3,9,2,0,0
53,301965,48,17,72,,,,
54,301965,17,72,17,,,,
55,301956,101,74,17,,,,
56,301956,105,17,74,,,,
57,302071,82,0,20,0,0,0,0
58,302004,53,10,53,,,,
59,302004,28,53,10,,,,
60,302071,57,20,0,2,2,2,0
61,300943,117532,19,43,,,,
62,301962,36,16,38,,,,
63,300943,171355,43,19,,,,
64,301962,49,38,16,,,,
65,302003,97,43,13,,,,
66,300950,68,13,30,,,,
67,302003,53,13,43,,,,
68,300950,87,30,13,,,,
69,301960,130,8,17,,,,
70,301960,95,17,8,,,,
71,302030,33,19,38,3,2,0,0
72,300948,86,91,5,,,,
73,300948,134,5,91,,,,
74,302030,29,38,19,5,2,1,0
75,300947,80,33,0,,,,
76,301958,38,35,20,,,,
77,300947,47,0,33,,,,
78,301961,38,12,50,,,,
79,301958,95,20,35,,,,
80,300905,23,32,27,4,3,2,0
81,301961,133753,50,12,,,,
82,300905,57,27,32,2,1,4,0
83,302029,53,10,66,,,,
84,302001,97,3,79,,,,
85,302000,28,32,39,5,2,1,0
86,302029,33,66,10,,,,
87,302001,10,79,3,,,,
88,302000,29,39,32,5,2,2,0
89,300944,41,41,20,,,,
90,300944,80,20,41,,,,
91,295107,2,11,18,1,0,2,0
92,295107,4,18,11,2,1,2,0
93,298542,264121,16,49,,,,
94,298542,132,49,16,,,,
95,300920,12,22,20,1,0,4,0
96,300920,57,20,22,4,0,0,0
97,301206,11,30,25,4,2,2,0
98,301206,25,25,30,3,2,2,0
99,299090,84914,17,29,,,,
100,300919,22,5,18,,,,
101,299090,113561,29,17,,,,
102,300919,27,18,5,,,,
103,300917,18,21,18,3,2,0,0
104,300917,12,18,21,2,1,2,0
105,301205,33,15,10,0,0,2,0
106,300914,21,6,46,0,0,2,0
107,300916,7,18,26,2,1,2,0
108,301205,28,10,15,1,1,1,0
109,300914,81,46,6,8,3,0,0
110,300916,57,26,18,4,2,0,0
111,302028,56,6,6,,,,
112,301202,11,33,28,4,2,2,0
113,302028,63,6,6,,,,
114,301202,33,28,33,3,2,2,0
115,295106,20,16,26,2,0,2,0
116,295106,3,26,16,4,3,0,0
117,298609,33,5,45,1,0,0,0
118,298609,25,45,5,7,2,0,0
119,301200,25,56,0,6,3,3,0
120,301200,28,0,56,0,0,0,0
121,300912,27,65,5,,,,
122,300912,13,5,65,,,,
123,296954,23,39,6,5,2,2,0
124,300911,12,38,10,6,2,0,0
125,300913,81,24,10,4,2,0,0
126,300913,18,10,24,2,0,0,0
127,296954,16,6,39,0,0,2,0
128,300911,7,10,38,1,1,1,0
129,301025,27,23,29,2,2,2,0
130,301025,82,29,23,4,2,1,0
131,299414,3,16,9,1,1,3,0
132,299414,8,9,16,0,0,2,1
133,299077,4,74,24,9,8,2,0
134,300900,56,17,5,,,,
135,299077,16,24,74,3,3,1,0
136,300900,91,5,17,,,,
137,299412,9,26,29,2,2,3,1
138,299076,4,9,6,0,0,3,0
139,299412,5,29,26,1,2,5,0
140,299076,6,6,9,0,0,2,0
141,299411,3,28,17,3,2,3,0
142,299411,10,17,28,0,0,4,0
143,298663,2,54,17,7,4,0,0
144,299413,20,28,17,4,1,2,0
145,298663,14,17,54,2,2,1,0
146,296610,1,15,16,2,1,0,1
147,299413,81,17,28,2,1,1,0
