id,name,full_name,birthday,height,weight
4292,Francisco Silva,Francisco Jose Palhava Marques Silva,1992-08-11 00:00:00,,
5404,Asis Garcia Mazariegos,Asis Garcia Mazariegos,1973-08-30 00:00:00,1.8,90
5406,Cesar Hernandez Abad,Cesar Hernandez Abad,,,
5801,Jose Roque,Jose Manuel Moreira Montalto Pereira Roque,1999-11-23 00:00:00,,
8882,Marcelo Loffreda,Marcelo Herman Loffreda,1959-05-17 00:00:00,,
8956,Giancarlo Pivetta,Giancarlo Pivetta,1957-06-18 00:00:00,1.83,102
9128,Adrian Lungu,Adrian Lungu,1960-09-05 00:00:00,1.85,79
9130,Naas Botha,Hendrik Egnatius Botha,1958-02-27 00:00:00,1.8,73
9140,Gheorghie Corneliu,Gheorghie Corneliu,,,
9270,Danie Gerber,Daniel Mattheus Gerber,1958-04-14 00:00:00,1.88,89
9347,Rupeni Nasiga,Rupeni Nasiga,1985-10-08 00:00:00,1.93,103
9408,Peter Winterbottom,Peter James Winterbottom,1960-05-31 00:00:00,,
9426,Jose Luis Rodrigues,Jose Luis Lopes Rodrigues,,,
9442,Seiji Hirao,Seiji Hirao,1963-01-21 00:00:00,1.8,83
9461,Willie Rokowailoa,Elia Rokowailoa,1958-07-22 00:00:00,1.83,95
9477,David Campese,David Ian Campese,1962-10-21 00:00:00,1.8,88
9498,Brian Moore,Brian Christopher Moore,1962-01-11 00:00:00,,
9511,Didier Camberabero,Didier Camberabero,1961-01-09 00:00:00,1.75,69
9515,Philippe Sella,Philippe Jean-Paul Sella,1962-02-14 00:00:00,1.8,83
9543,Jon Azkargorta Aretxabala,Jon Azkargorta Aretxabala,,,
9544,Ramon Blanco Duelo,Ramon Blanco Duelo,,,
9548,Gabriel Rivero Macia,Gabriel Rivero Macia,,,
9553,Michael Bradley,Michael Timothy Bradley,1962-11-17 00:00:00,,
9569,Nuno Durao,Nuno Durao,,,
9610,Edgardo Venturi,Edgardo Venturi,1962-07-27 00:00:00,1.8,83
9620,Diego Cuesta Silva,Diego Cuesta Silva,1963-01-20 00:00:00,,
9652,Jean-Baptiste Lafond,Jean-Baptiste Lafond,1961-12-29 00:00:00,1.8,82
9658,Stuart Barnes,Stuart Barnes,1962-11-22 00:00:00,,
9722,Douglas Wyllie,Douglas Stewart Wyllie,1963-05-20 00:00:00,,
9725,Jon Hall,Jonathan Peter Hall,1962-03-15 00:00:00,,
9731,Rory Underwood,Rory Underwood,1963-06-19 00:00:00,1.75,86
9737,Joao Queimado,Joao Queimado,,,
9745,Haralambie Dumitras,Haralambie Dumitras,1960-02-11 00:00:00,1.91,109
9747,Gheorghe Leonte,Gheorghe Leonte,1963-02-12 00:00:00,,
9754,Rudi Visagie,Rudolf Gerhardus Visagie,1959-06-27 00:00:00,1.96,105
9760,Steve Gray,Stephen D. Gray,1963-07-19 00:00:00,,
9767,Michael Lynagh,Michael Patrick Thomas Lynagh,1963-10-25 00:00:00,1.78,79
9771,Ilaitia Savai,Ilaitia Savai,1960-07-12 00:00:00,1.98,109
9772,Ian Stuart,Ian C. Stuart,1961-10-08 00:00:00,,
9774,Tom Woods,Tom A. Woods,1962-10-29 00:00:00,,
9775,John Kirwan,John James Patrick Kirwan,1964-12-16 00:00:00,1.93,91
9804,Fabian Turnes,Fabian A. Turnes,1965-01-12 00:00:00,1.8,83
9810,Rob Andrew,Christopher Robert Andrew,1963-02-18 00:00:00,1.75,79
9814,Nick Farr-Jones,Nicholas Campbell Farr-Jones,1962-04-18 00:00:00,,
9816,Nigel Redman,Nigel Charles Redman,1964-08-16 00:00:00,1.93,108
9821,Brendan Mullin,Brendan John Mullin,1963-10-30 00:00:00,,
9834,Gheorghe Ion,Gheorghe Ion,1960-07-27 00:00:00,,
9836,Wade Dooley,Wade Anthony Dooley,1957-10-02 00:00:00,,
9839,Mike Teague,Michael Clive Teague,1959-10-08 00:00:00,,
9848,Alan Tait,Alan Victor Tait,1964-07-02 00:00:00,1.8,95
9855,Nuno Morais,Nuno Morais,,,
9856,Jonathan Davies,Jonathan Davies,1962-10-24 00:00:00,1.75,78
9860,Stefano Barba,Stefano Barba,1964-01-10 00:00:00,1.75,74
9878,Phil Davies,Philip Thomas Davies,1963-10-19 00:00:00,,
9885,Kevin Swords,Kevin Robert Swords,1960-07-01 00:00:00,,
9889,Julio Alvarez Ruiz de Temino,Jose Julio Alvarez Ruiz de Temino,,,
9894,Francisco Puertas Soto,Francisco Puertas Soto,1963-11-18 00:00:00,1.85,90
9902,Grant Fox,Grant James Fox,1962-06-16 00:00:00,1.75,71
