id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts,opp_name,opp_pos,opp_pts
8,2019-11-01,3,298261,8,40,17,6.0,2.0,0.0,0.0,New Zealand,3,89.92317,Wales,4,87.20569
1,2019-11-02,3,298262,1,12,32,0.0,0.0,2.0,0.0,England,1,92.28923,South Africa,2,90.71279
5,2019-11-02,3,298262,5,32,12,2.0,2.0,2.0,0.0,South Africa,2,90.71279,England,1,92.28923
5,2019-10-27,3,298260,5,19,16,1.0,1.0,2.0,0.0,South Africa,4,88.548485,Wales,3,89.36999
85,2019-11-02,1,303988,85,38,9,,,,,Austria,88,32.555595000000004,Norway,97,28.744581
4,2019-11-01,3,298261,4,17,40,2.0,2.0,1.0,0.0,Wales,4,87.20569,New Zealand,3,89.92317
4,2019-10-27,3,298260,4,16,19,1.0,1.0,2.0,0.0,Wales,3,89.36999,South Africa,4,88.548485
68,2019-11-02,1,303988,68,9,38,,,,,Norway,97,28.744581,Austria,88,32.555595000000004
31,2019-11-02,1,303987,31,0,13,,,,,Sweden,47,46.85055,Luxembourg,61,41.570423
61,2019-11-02,1,303987,61,13,0,,,,,Luxembourg,61,41.570423,Sweden,47,46.85055
88,2019-10-26,1,303985,88,3,51,,,,,Bosnia and Herzegovina,-1,-1.0,Bulgaria,82,34.17499
13,2019-11-02,1,303986,13,15,35,,,,,Poland,35,50.59385,Germany,28,54.963875
7,2019-11-02,1,303986,7,35,15,,,,,Germany,28,54.963875,Poland,35,50.59385
41,2019-10-26,1,303985,41,51,3,,,,,Bulgaria,82,34.17499,Bosnia and Herzegovina,-1,-1.0
87,2019-10-26,1,303983,87,22,26,,,,,Latvia,60,41.713524,Sweden,50,45.976887
9,2019-10-20,3,298257,9,19,20,3.0,2.0,0.0,0.0,France,8,81.377716,Wales,2,88.86806
1,2019-10-26,3,298259,1,19,7,1.0,1.0,2.0,0.0,England,2,89.74458,New Zealand,1,92.46781
30,2019-10-26,1,303984,30,22,0,,,,,Denmark,74,36.78569,Finland,86,33.581203
31,2019-10-26,1,303983,31,26,22,,,,,Sweden,50,45.976887,Latvia,60,41.713524
4,2019-10-20,3,298257,4,20,19,2.0,2.0,2.0,0.0,Wales,2,88.86806,France,8,81.377716
8,2019-10-26,3,298259,8,7,19,1.0,1.0,0.0,0.0,New Zealand,1,92.46781,England,2,89.74458
74,2019-10-26,1,303984,74,0,22,,,,,Finland,86,33.581203,Denmark,74,36.78569
61,2019-10-19,1,303978,61,7,36,,,,,Luxembourg,57,42.545437,Czechia,38,49.04533
91,2019-10-19,1,303978,91,36,7,,,,,Czechia,38,49.04533,Luxembourg,57,42.545437
3,2019-10-19,3,298256,3,14,46,2.0,1.0,0.0,0.0,Ireland,4,85.929085,New Zealand,1,90.98441
23,2019-10-20,1,298258,23,3,26,0.0,0.0,1.0,0.0,Japan,7,82.08331,South Africa,5,85.74785
84,2019-10-26,1,303982,84,27,10,,,,,Ukraine,38,49.25176,Lithuania,37,49.447727
8,2019-10-19,3,298256,8,46,14,7.0,2.0,1.0,0.0,New Zealand,1,90.98441,Ireland,4,85.929085
5,2019-10-20,1,298258,5,26,3,3.0,1.0,2.0,0.0,South Africa,5,85.74785,Japan,7,82.08331
